item,quantity,unit_cost,total_cost,date,sub_category,category
$100 Transfer Fee,1,250,250,03/27/2022,Brick Molding,1st Floor
Cutting Trees,1,5000,5000,04/03/2022,Brick Molding,1st Floor
Clearing Plot,1,2500,2500,04/03/2022,Brick Molding,1st Floor
"$1,000 Transfer Fee",1,1000,1000,04/16/2022,Brick Molding,1st Floor
Cement ,75,320,24000,04/18/2022,Brick Molding,1st Floor
Cement Transport,75,20,1500,04/18/2022,Brick Molding,1st Floor
Wheelbarrow ,1,3000,3000,04/18/2022,Brick Molding,1st Floor
50m Hose/Pipe ,1,1400,1400,04/18/2022,Brick Molding,1st Floor
Small Bucket ,2,100,200,04/18/2022,Brick Molding,1st Floor
Big Sand Trip,2,8000,16000,04/18/2022,Brick Molding,1st Floor
Small Tank ,1,1600,1600,04/18/2022,Brick Molding,1st Floor
Cement Watchman,1,500,500,04/18/2022,Brick Molding,1st Floor
Gasoline ,1,300,300,04/18/2022,Brick Molding,1st Floor
Missing ,1,1500,1500,04/18/2022,Brick Molding,1st Floor
"$1,000 Transfer Fee",1,1000,1000,04/19/2022,Brick Molding,1st Floor
Cement ,120,325,39000,04/20/2022,Brick Molding,1st Floor
Cement Transport,120,15,1800,04/20/2022,Brick Molding,1st Floor
Big Sand Trip,1,8000,8000,04/20/2022,Brick Molding,1st Floor
Small Tank ,1,800,800,04/20/2022,Brick Molding,1st Floor
Wheelbarrow Tire ,1,700,700,04/20/2022,Brick Molding,1st Floor
Gasoline ,1,500,500,04/20/2022,Brick Molding,1st Floor
"$1,000 Transfer Fee",1,600,600,04/22/2022,Brick Molding,1st Floor
Big Sand Trip ,2,8000,16000,04/23/2022,Brick Molding,1st Floor
Bricks Payment ,4210,6.0,25260,04/23/2022,Brick Molding,1st Floor
Over Payment ,1,1800,1800,04/23/2022,Brick Molding,1st Floor
Big Sand Trip,1,8000,8000,04/23/2022,Brick Molding,1st Floor
6Wheel Sand Trip,1,5500,5500,04/23/2022,Brick Molding,1st Floor
Cement ,55,330,18150,04/23/2022,Brick Molding,1st Floor
Cement Transport ,55,15,825,04/23/2022,Brick Molding,1st Floor
Bricks payment ,2675,6,16050,04/23/2022,Brick Molding,1st Floor
Needs To Be Determined,1,15,15,04/23/2022,Brick Molding,1st Floor
